Course	Room	Teacher	Time	Students
001899	PK227	0409956	280	3529298 3581232 3480999 3560167 3470846 3558739 3426943 3470393 3521461 3543742 3576260 3581920 3650277 3472549 3668966 
001899	PK227	0409956	281	3529298 3581232 3480999 3560167 3470846 3558739 3426943 3470393 3521461 3543742 3576260 3581920 3650277 3472549 3668966 
001899	PK227	0409956	26	3529298 3581232 3480999 3560167 3470846 3558739 3426943 3470393 3521461 3543742 3576260 3581920 3650277 3472549 3668966 
007393	DAL25	0987494	244	3529298 3574137 3620017 3693286 3796237 3768356 3796723 3581609 3667676 3821008 3677885 3693219 3774116 3817260 3694754 3575309 3797650 
007393	DAL25	0987494	245	3529298 3574137 3620017 3693286 3796237 3768356 3796723 3581609 3667676 3821008 3677885 3693219 3774116 3817260 3694754 3575309 3797650 
007393	DAL25	0987494	246	3529298 3574137 3620017 3693286 3796237 3768356 3796723 3581609 3667676 3821008 3677885 3693219 3774116 3817260 3694754 3575309 3797650 
012291	PK10	0409956	278	3529298 3596713 3668196 3561074 3785953 3930864 3608097 3480867 3789573 3578673 3668789 3668893 3668925 3797625 
012291	PK10	0409956	279	3529298 3596713 3668196 3561074 3785953 3930864 3608097 3480867 3789573 3578673 3668789 3668893 3668925 3797625 
012291	PK10	0409956	243	3529298 3596713 3668196 3561074 3785953 3930864 3608097 3480867 3789573 3578673 3668789 3668893 3668925 3797625 
001249	DAL10	3577228	280	3580259 3574483 3574563 3575735 3485756 3581830 3580714 3483511 3574866 3521272 3540124 3557478 3559843 3559963 3560858 3576126 3580991 3537536 3538400 3561772 
001249	DAL10	3577228	281	3580259 3574483 3574563 3575735 3485756 3581830 3580714 3483511 3574866 3521272 3540124 3557478 3559843 3559963 3560858 3576126 3580991 3537536 3538400 3561772 
011223	PK328	0207327	280	3692771 3581980 3462565 3561084 3581952 3628726 3580114 
011223	PK328	0207327	281	3692771 3581980 3462565 3561084 3581952 3628726 3580114 
011223	PK328	0207327	26	3692771 3581980 3462565 3561084 3581952 3628726 3580114 
009304	CARP17	1137952	280	3581981 3493764 3580671 3695542 3581247 3690516 3693092 3667677 3559462 3667381 3667654 3668538 
009304	CARP17	1137952	281	3581981 3493764 3580671 3695542 3581247 3690516 3693092 3667677 3559462 3667381 3667654 3668538 
001766	EHIII	3998659	243	3699561 3600785 3694101 3544945 3816708 3599090 3900952 3578177 3610681 3857764 3544254 
001766	EHIII	3998659	271	3699561 3600785 3694101 3544945 3816708 3599090 3900952 3578177 3610681 3857764 3544254 
007375	TH224	0820103	280	3600785 3651750 3821088 3789136 3796723 3691616 3699613 3651487 3816104 3612623 3667385 3692187 3818746 3581149 3645720 3693433 3712913 3728679 3774116 3797192 3817682 3820479 3578673 3668790 3668818 3668959 3669029 3669047 3797619 3797630 3797632 3797714 3797774 3797803 3910507 3910583 3910651 
