Course	Room	Teacher	Time	Students
001844	PK126	3577231	233	3339315 3420380 3423723 3436683 3438878 3458176 3460235 3463879 3463993 3477014 3485290 3486141 3486182 3576336 3576485 3576494 
005239	CARP15	0493856	208	3339814 3425356 3430131 3432759 3435384 3436119 3437756 3443522 3446353 3576357 3576366 3581098 3581249 
005239	CARP15	0493856	209	3339814 3425356 3430131 3432759 3435384 3436119 3437756 3443522 3446353 3576357 3576366 3581098 3581249 
007391	BYC127	0031631	229	3339814 3363735 3425347 3426213 3430131 3432027 3433881 3434539 3439636 3440419 3446670 3447681 3449400 3454115 3459032 3462235 3463936 
007391	BYC127	0031631	230	3339814 3363735 3425347 3426213 3430131 3432027 3433881 3434539 3439636 3440419 3446670 3447681 3449400 3454115 3459032 3462235 3463936 
007391	BYC127	0031631	228	3339814 3363735 3425347 3426213 3430131 3432027 3433881 3434539 3439636 3440419 3446670 3447681 3449400 3454115 3459032 3462235 3463936 
012895	PK20	0428011	15	3339814 3418120 3420025 3420434 3426213 3426638 3433788 3434539 3437146 3437756 3438443 3439283 
012895	PK20	0428011	223	3339814 3418120 3420025 3420434 3426213 3426638 3433788 3434539 3437146 3437756 3438443 3439283 
008801	BYC106	3194197	208	3340003 3374470 3411158 3418120 3435070 3437341 3444536 3458932 3475327 3479804 3482323 3483567 3510665 3576334 
008801	BYC106	3194197	209	3340003 3374470 3411158 3418120 3435070 3437341 3444536 3458932 3475327 3479804 3482323 3483567 3510665 3576334 
008824	BYC239	0031572	229	3340003 3406406 3415407 3433251 3435161 3438550 
008824	BYC239	0031572	230	3340003 3406406 3415407 3433251 3435161 3438550 
010950	CARP13	1168489	228	3340003 3435161 3462872 3576551 
010950	CARP13	1168489	215	3340003 3435161 3462872 3576551 
008485	DAL212A	0031553	228	3340287 3378849 3421700 3431448 3456994 3462416 
008485	DAL212A	0031553	215	3340287 3378849 3421700 3431448 3456994 3462416 
008488	BYC106	0031553	10	3340287 3378849 3421700 3431448 3456994 3462416 
008488	BYC106	0031553	125	3340287 3378849 3421700 3431448 3456994 3462416 
007026	TAYD	3198619	15	3340324 3413283 3418499 3430953 3433881 3435722 3437589 3438342 3440024 3441166 3454439 3457932 3459032 3461962 3462956 3463919 3465327 3478419 3481967 3482194 3483084 3484334 3486609 3486844 3525604 3530220 3576377 3576508 
007070	DAL300	0316015	227	3359026 3404196 3405604 3436588 3437089 3437591 3438102 3462235 3474207 3481562 3485970 3581031 
007070	DAL300	0316015	55	3359026 3404196 3405604 3436588 3437089 3437591 3438102 3462235 3474207 3481562 3485970 3581031 
014201	TAYD	3647209	208	3359596 3431158 3435366 3437011 3438033 3438342 3459645 3484216 3576410 
014201	TAYD	3647209	209	3359596 3431158 3435366 3437011 3438033 3438342 3459645 3484216 3576410 
014202	TAYD	3647209	229	3359596 3425437 3462964 3486740 3487321 3559462 
014202	TAYD	3647209	230	3359596 3425437 3462964 3486740 3487321 3559462 
009342	BYC239	0031522	10	3363735 3416640 3426213 3433881 3455093 
009342	BYC239	0031522	55	3363735 3416640 3426213 3433881 3455093 
009342	BYC239	0031522	16	3363735 3416640 3426213 3433881 3455093 
012665	PK20	3332662	15	3363735 3423723 3430706 3431078 3432798 3433829 3433961 3438473 3439528 3439701 3440075 
012665	PK20	3332662	79	3363735 3423723 3430706 3431078 3432798 3433829 3433961 3438473 3439528 3439701 3440075 
013713	BYC100	0031631	209	3363735 3430142 3433881 3440419 3450068 3453262 3455093 3474216 
013713	BYC100	0031631	210	3363735 3430142 3433881 3440419 3450068 3453262 3455093 3474216 
013713	BYC100	0031631	227	3363735 3430142 3433881 3440419 3450068 3453262 3455093 3474216 
014117	DAL1	3473854	206	3363735 3430706 3433849 3455049 3458250 
014117	DAL1	3473854	207	3363735 3430706 3433849 3455049 3458250 
014117	DAL1	3473854	208	3363735 3430706 3433849 3455049 3458250 
013170	CARP25	3092941	10	3366307 3412881 3426718 3429524 3429832 3434210 3439147 3439917 3442335 3443731 3451551 3457935 3460766 3484202 3486050 3581249 
013170	CARP25	3092941	55	3366307 3412881 3426718 3429524 3429832 3434210 3439147 3439917 3442335 3443731 3451551 3457935 3460766 3484202 3486050 3581249 
014119	DAL25	3555100	229	3366307 3416374 3428844 3435183 3442335 3447322 3464279 3480810 3482989 3533093 3544254 3576324 3579687 
014119	DAL25	3555100	230	3366307 3416374 3428844 3435183 3442335 3447322 3464279 3480810 3482989 3533093 3544254 3576324 3579687 
014120	DAL119	3461286	57	3366307 3417819 3431449 3432357 3435734 3441016 3454439 3454476 3458957 3459823 3465050 3465244 3467932 3475445 3478309 3479054 3479350 3481894 3482101 3487623 3556169 3559462 3560193 3561516 3574047 3575898 3576126 3576324 3577054 3579099 3580584 3581127 3581469 3581827 3581870 
014120	DAL119	3461286	56	3366307 3417819 3431449 3432357 3435734 3441016 3454439 3454476 3458957 3459823 3465050 3465244 3467932 3475445 3478309 3479054 3479350 3481894 3482101 3487623 3556169 3559462 3560193 3561516 3574047 3575898 3576126 3576324 3577054 3579099 3580584 3581127 3581469 3581827 3581870 
003454	EHII	3393009	10	3374040 3438471 3438999 3444537 3455808 3459584 3464848 3465591 3478102 3480937 3481102 
003454	EHII	3393009	55	3374040 3438471 3438999 3444537 3455808 3459584 3464848 3465591 3478102 3480937 3481102 
