Course	Room	Teacher	Time	Students
001433	CARP17	0031632	61	171	3462417 3483306 3580991 3463560 3581903 3574967 3460757 3579687 3576319 3576546 
011986	PK20	3764403	264	265	3483306 3468281 3579687 3650736 3650997 
001843	PK229	0056992	16	18	3435187 3462639 3483511 3486379 3486617 3568950 3487041 3544945 3456290 3503630 3482739 3462964 3461498 3475198 3575928 3514964 3581995 3463993 3470393 3543742 3576308 3576399 3668911 
014113	PK20	0827051	3	68	3483965 3538928 3559963 3559970 3560373 3574543 3576792 3578842 3569865 3486571 3487093 3470797 3480867 3581995 3452874 3512896 3581207 3481391 3559612 3668778 3668822 3668919 3668926 3668947 3669006 3669032 3669038 
001232	DAL212A	0493725	262	263	3484763 3576399 
014099	PK127	0409956	266	60	3485548 3467093 3486782 3481532 3475198 3581250 3576531 3576570 3576583 
005211	TH102	0493856	5	254	3452561 3453467 3483084 3485628 3514964 3463939 3667608 3454625 3576324 
005724	TH111	3648007	262	263	3463525 3485628 3487090 3520100 3521461 3581098 3581870 3577682 3578177 3581080 3581596 3576308 3669004 3797653 
006525	TH121	0031573	264	265	3485642 3559218 3463939 3579414 3559903 3455294 3668919 
012730	EHII	3554810	262	263	3485642 3412881 3455808 3462019 3576571 
013614	DAL2	0375562	2	3	3462242 3485800 3486609 3560770 3577485 3581846 3576248 3561402 3579028 3480836 3561280 3650596 3461937 3581980 3581455 3581127 3456066 3574873 3580397 3561084 3580798 3668968 
014117	DAL25	3473854	266	60	3486133 3480836 3576329 3576392 3576534 3576632 
011862	CARP17	3555097	266	60	3486609 3576013 3559462 3576470 
002367	DAL300	3208421	16	18	3486844 3576792 3579949 3464398 3487093 3558800 3479534 3470797 3476864 3512896 3538400 3546417 3576231 3489089 3496673 3561026 3578240 3591436 3599536 3602816 3631042 3666207 3668623 3691514 3693224 3693253 3693902 3694810 3695282 3695542 3695643 3561098 3576436 3668796 3668826 3668831 3668923 3669008 3695271 3797644 3797645 3797849 
012317	TAYSEM	3554385	17	4	3438068 3487321 3558800 3540190 3502893 3629970 3690733 
002384	TAYG	3473854	262	263	3487640 3486182 3576390 
011818	DAL212A	3213249	266	60	3483084 3503587 3518231 3479054 3425239 3576763 3603544 
007010	TH104	0162976	264	265	3483084 3506324 3568950 3575898 3581846 3559624 3560649 3578707 3561402 3452988 3458087 3460718 3581995 3560860 3581455 3510878 3560199 3598090 3666570 3689402 3560511 3483171 3668771 3668976 3797683 
